Submission Year,Annual Return,Industry Sector,RSEI Score,RSEI Score-Cancer,RSEI Score-Noncancer,RSEI Modeled Hazard,RSEI Modeled Pounds,TRI Pounds
2018,-0.12348592,Beverages,"26,970","3,473","23,596","2,023,128,377","3,027,737","3,231,920"
2017,0.01135336,Beverages,"20,117","3,338","13,645","1,810,468,579","3,230,394","3,382,851"
2016,0.03944099,Beverages,"27,580","14,466","10,164","1,416,560,605","3,468,478","3,587,830"
2015,0.05608399,Beverages,"21,587","3,573","14,915","1,270,392,971","3,871,784","4,000,281"
2014,0.15755505,Beverages,"31,188","3,917","27,372","1,711,551,806","3,933,156","4,105,548"
2013,0.32295329,Beverages,"24,980","1,499","23,500","1,169,278,239","3,541,094","3,657,847"
2012,0.03860198,Beverages,"30,089","1,446","28,658","1,120,142,678","3,040,896","3,234,733"
2011,0.05156336,Beverages,"24,654","1,364","23,301","1,122,990,583","3,019,009","3,110,082"
2010,0.28380282,Beverages,"37,169","1,366","35,802","1,817,889,825","3,678,678","3,766,446"
2009,0.08895706,Beverages,"36,468",932,"35,539","1,196,255,707","4,761,062","4,833,048"
2008,-0.22931442,Beverages,"56,486","3,285","53,274","2,243,381,248","5,405,449","5,467,798"
2007,0.02732247,Beverages,"60,316","3,636","56,763","2,422,113,744","6,100,624","6,119,286"
2018,-0.315237469,Chemicals,"147,176,663","139,312,354","2,569,320","5,489,427,651,324","400,218,395","1,180,263,122"
2017,0.209701425,Chemicals,"130,401,721","122,177,318","2,776,211","4,512,137,660,556","362,280,032","1,137,075,567"
2016,0.126911315,Chemicals,"157,332,366","148,733,377","2,799,087","5,077,192,993,769","384,850,456","1,184,897,035"
2015,-0.108627504,Chemicals,"145,466,059","136,380,735","2,897,587","4,542,510,626,193","382,546,884","1,208,403,574"
2014,0.005964215,Chemicals,"168,777,233","161,493,473","2,837,537","5,929,838,392,576","392,221,574","1,179,146,056"
2013,0.225077685,Chemicals,"180,145,005","169,693,745","2,748,798","5,059,802,186,413","382,053,445","1,163,911,100"
2012,0.251392538,Chemicals,"188,360,358","179,834,469","2,555,344","5,487,832,266,360","359,437,535","1,208,508,631"
2011,-0.003664921,Chemicals,"226,804,397","218,662,883","2,964,500","7,144,145,129,855","347,557,774","1,027,138,203"
2010,0.268934361,Chemicals,"205,603,719","197,038,325","2,658,689","7,378,215,458,216","350,941,346","1,006,043,411"
2009,0.628651807,Chemicals,"218,085,779","188,282,621","2,589,673","6,947,835,438,730","333,986,803","925,550,733"
2008,-0.441435997,Chemicals,"269,563,777","246,618,923","3,043,425","7,808,834,309,662","369,078,483","1,039,420,121"
